month,weekday,member_casual,trip_length,quarter
August,Saturday,casual,15.23333333,3
August,Saturday,member,10.7,3
August,Sunday,casual,15.26666667,3
August,Sunday,member,10.53333333,3
August,Thursday,casual,11.83333333,3
August,Thursday,member,9.316666667,3
August,Tuesday,casual,12.1,3
August,Tuesday,member,9.516666667,3
August,Wednesday,casual,12.16666667,3
August,Wednesday,member,9.5,3
July,Friday,casual,13.2,3
July,Friday,member,9.466666667,3
July,Monday,casual,13.5,3
July,Monday,member,9.45,3
July,Saturday,casual,15.35,3
July,Saturday,member,10.45,3
July,Sunday,casual,15.56666667,3
July,Sunday,member,10.7,3
July,Thursday,casual,12.25,3
July,Thursday,member,9.516666667,3
July,Tuesday,casual,13.46666667,3
July,Tuesday,member,9.766666667,3
July,Wednesday,casual,11.4,3
July,Wednesday,member,9.083333333,3
September,Friday,casual,12.16666667,3
September,Friday,member,9.183333333,3
September,Monday,casual,12.5,3
September,Monday,member,8.816666667,3
September,Saturday,casual,14.78333333,3
September,Saturday,member,10.21666667,3
September,Sunday,casual,15,3
September,Sunday,member,10.06666667,3
September,Thursday,casual,10.63333333,3
September,Thursday,member,8.933333333,3
September,Tuesday,casual,10.43333333,3
September,Tuesday,member,8.7,3
September,Wednesday,casual,10.53333333,3
September,Wednesday,member,9,3
December,Friday,casual,9.05,4
December,Friday,member,7.75,4
December,Monday,casual,8.116666667,4
December,Monday,member,7.316666667,4
December,Saturday,casual,10.21666667,4
December,Saturday,member,8.016666667,4
December,Sunday,casual,10.28333333,4
December,Sunday,member,7.9,4
December,Thursday,casual,8.466666667,4
December,Thursday,member,7.783333333,4
December,Tuesday,casual,7.95,4
December,Tuesday,member,7.4,4
December,Wednesday,casual,8.366666667,4
December,Wednesday,member,7.733333333,4
November,Friday,casual,9.266666667,4
November,Friday,member,7.7,4
November,Monday,casual,9.066666667,4
November,Monday,member,7.683333333,4
November,Saturday,casual,12.08333333,4
November,Saturday,member,8.55,4
November,Sunday,casual,12.05,4
November,Sunday,member,8.383333333,4
November,Thursday,casual,9.383333333,4
November,Thursday,member,8.016666667,4
November,Tuesday,casual,8.325,4
November,Tuesday,member,7.625,4
November,Wednesday,casual,8.4,4
November,Wednesday,member,7.85,4
October,Friday,casual,10.35,4
October,Friday,member,8.033333333,4
October,Monday,casual,10.53333333,4
October,Monday,member,8.033333333,4
October,Saturday,casual,12.66666667,4
October,Saturday,member,8.633333333,4
October,Sunday,casual,14.2,4
October,Sunday,member,9,4
October,Thursday,casual,9.783333333,4
October,Thursday,member,8.25,4
October,Tuesday,casual,10.63333333,4
October,Tuesday,member,8.516666667,4
October,Wednesday,casual,10.5,4
October,Wednesday,member,8.483333333,4
